text,label,
Ten outside soon doctor shake everyone treatment seat radio land. ,Not-Bullying,
my life has come to a standstill and at this point.,Not-Bullying,
girl this nigga make me sick to my stomach,Bullying,
I wanna fuck you,Bullying,
"Oh hey, you should be ashamed of your disgusting self",Bullying,
Haha isn't route running part of the position? People are dumb. But fuck edelman! He just looks like he says,Bullying ,
Racism is when u select yur white clothes to wash first before the black and colored ones,Bullying,
Who are islamists? Those who fully follow the teachings of Muhammed found in the Quran and Hadiths,Bullying, 
Male action movies...ehhhh @That_Damn_Ram Not sexist but female action movies...ehhhh,Bullying ,
Wishing my arena partner was on.,Not Bullying ,
"I hope this round humbled the girls, they can't cook",Not- Bullying ,
Ha-ha-ha-ha-ha! Islam is against evil ,Bullying,
Thanks to everyone that came out to walk with us and San Benito Bully dog  group.,Not -Bullying,
Dealing with harassment,Not- Bullying ,
"you not only a nigger, you're a dumb nigger. Fuck you and your riots. You want war?",Bullying,
I hate your job too.,Bullying,
Get fucking real dude.,Bullying, 
Heh. Fuck 'em WHERE?!?,Bullying,
You know there are people out there who like but don't listen to old school.,Not-Bullying ,
Really miss my classmates n schoolmates. See you all soon people,Not-Bullying ,
Let's talk about what it means to be a victim,Not-Bullying ,
no one ever help.me like my bully,Not-Bullying ,
My friends and me got called niggers by this Mexican chick . ,Bullying ,
Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,Bullying ,
"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",Bullying ,
Israel and US have the same enemies.,Bullying ,
Bangladesh is a looser country ,Bullying, 
Bangladesh are allout o 100 runs.,Bullying,
I love sunny leone and sweet children's ,Not-Bullying ,
Me your big friend from bangladesh,Bullying,
i m not tired babe.....i have been flying like clouds in ur mind,Bullying, 
Hahaha!  Well take care then. ,Bullying,
Heroalom is fool of bangladesh actor,Bullying, 
Yay! Yaya on the dance floor I like the way she is confident about her body,Not-Bullying,
Bangladesh is a so beautiful Country ,Not-Bullying,
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!,Bullying, 
Son of a bitch!,Bullying, 
r u a drty slut?,Bullying,
You are a dirty mind people.,Bullying ,
Looks like beatiful,Not -Bullying ,
Wishing my arena partner was on.,Not-Bullying,
See you all soon Bebs.,Not-Bullying,
He killed him,Bullying,
Oil your own machine.,Bullying ,
she loves flower,Not-Bullying,
you are a fatty fat fat,Bullying,
Maram wanted to research the roots of her,Bullying ,
You look like a gypsy. Sorry I'm not sorry.,Not-Bullying, 
"Walked out of the shelter with no puppy, but now I have a date. ",Not bullying ,
